state,total_child,total_adult,adult_child_ratio
meghalaya,74484,35287,0.47375275226894364
dadra and nagar haveli and daman and diu,152,21,0.13815789473684212
assam,207320,22877,0.11034632452247733
mizoram,5431,495,0.09114343583133862
nagaland,14465,1122,0.07756653992395438
gujarat,264213,16336,0.06182890319552785
sikkim,2101,106,0.05045216563541171
karnataka,213125,10110,0.04743695014662756
punjab,73574,3172,0.04311305624269443
the dadra and nagar haveli and daman and diu,689,27,0.03918722786647315
kerala,72327,2675,0.036984805121185724
arunachal pradesh,4193,151,0.03601240162175054
delhi,91479,3050,0.03334098536276085
ladakh,599,18,0.03005008347245409
puducherry,1701,44,0.02586713697824809
west bengal,366830,8510,0.02319875691737317
tripura,11030,255,0.023118766999093383
maharashtra,360930,8209,0.022744022386612363
manipur,13193,263,0.019934813916470857
bihar,597677,11908,0.019923804998351953
madhya pradesh,484371,9599,0.019817453976394128
chhattisgarh,101222,1997,0.019728912686965284
uttar pradesh,1000727,17902,0.01788899470085248
rajasthan,342903,5555,0.01619991659448882
chandigarh,2687,36,0.01339784145887607
andhra pradesh,126191,1495,0.011847120634593592
haryana,97152,1100,0.011322463768115942
jammu and kashmir,48406,535,0.011052348882369955
himachal pradesh,17300,186,0.010751445086705202
jharkhand,156090,1449,0.009283105900442052
uttarakhand,37359,339,0.00907411868626034
telangana,130423,1151,0.008825130536791823
odisha,122248,739,0.006045088672207316
tamil nadu,219540,1249,0.005689168260909174
dadra and nagar haveli,740,4,0.005405405405405406
lakshadweep,202,1,0.0049504950495049506
dadra & nagar haveli,25,0,0.0
pondicherry,1272,0,0.0
jammu & kashmir,155,0,0.0
daman & diu,21,0,0.0
daman and diu,120,0,0.0
andaman and nicobar islands,397,0,0.0
andaman & nicobar islands,114,0,0.0
