state,total_enrolments,records
Uttar Pradesh,1018629,110369
Bihar,609585,60567
Madhya Pradesh,493970,50225
West Bengal,375297,76519
Maharashtra,369139,77191
Rajasthan,348458,56159
Gujarat,280549,46624
Assam,230197,31827
Karnataka,223235,70198
Tamil Nadu,220789,92552
Jharkhand,157539,23218
Telangana,131574,42774
Andhra Pradesh,127681,65658
Odisha,118837,43691
Meghalaya,109771,3771
Chhattisgarh,103219,18550
Haryana,98252,15997
Delhi,94529,6804
Punjab,76746,20439
Kerala,75002,39145
Jammu and Kashmir,47991,11314
Uttarakhand,37698,10007
Himachal Pradesh,17486,10346
Nagaland,15587,1999
Manipur,13456,3218
Tripura,11285,3729
Mizoram,5926,1481
Arunachal Pradesh,4344,1601
Orissa,4149,3319
Chandigarh,2723,859
Goa,2333,1527
Sikkim,2207,1010
Puducherry,1745,1042
Pondicherry,1272,817
Jammu And Kashmir,950,2
Dadra and Nagar Haveli,744,162
The Dadra And Nagar Haveli And Daman And Diu,716,2
Ladakh,617,304
Andaman and Nicobar Islands,397,289
100000,218,22
Lakshadweep,203,159
Dadra and Nagar Haveli and Daman and Diu,173,116
Jammu & Kashmir,155,139
Daman and Diu,120,92
Andaman & Nicobar Islands,114,103
Dadra & Nagar Haveli,25,24
Daman & Diu,21,20
West  Bengal,15,15
West Bangal,10,9
West bengal,7,7
Westbengal,6,6
andhra pradesh,5,5
WEST BENGAL,4,4
ODISHA,1,1
WESTBENGAL,1,1
